	Unnamed: 0	Link	Title	Text	Terms	Topics
0	0	http://www.foxnews.com/world/2016/10/20/50-years-on-welsh-village-remembers-disaster.html	50 years on, a Welsh village remembers a disaster			
1	1	http://www.foxnews.com/politics/2016/04/05/tennessee-lawmakers-vote-to-make-bible-official-state-book.html	Tennessee lawmakers vote to make Bible official state book			
2	2	http://www.foxnews.com/us/2016/10/20/everybody-lies-and-americans-like-it-no-really.html	Everybody Lies . . . and We Americans Like It. No, really.			
3	3	http://www.foxnews.com/politics/2016/04/04/expectations-game-wisconsin-edition.html	Expectations Game: Wisconsin edition			
4	4	http://www.foxnews.com/us/2016/07/12/obscure-case-involving-obama-nj-limo-driver-sends-shockwaves-through-albania.html	Obscure case involving Obama, NJ limo driver sends shockwaves through Albania			
5	5	http://www.foxnews.com/world/2016/05/08/australian-opposition-pm-pick-helped-oust-2-predecessors.html	Australian opposition's PM pick helped oust 2 predecessors			
6	6	http://www.foxnews.com/politics/2014/02/12/fox-news-poll-no-love-connection-across-aisle.html	Fox News Poll: No love connection across the aisle			
7	7	http://www.foxnews.com/health/2016/10/19/dr-manny-could-fictional-medical-drama-help-revolutionize-medicine.html	Dr. Manny: Could a fictional medical drama help revolutionize medicine?			
8	8	http://www.foxnews.com/us/2016/10/19/begging-for-return-to-respectful-communications.html	Begging for a Return to Respectful Communications			
9	9	http://www.foxnews.com/world/2015/03/01/elegant-vazquez-replaces-folksy-mujica-as-uruguay-presidency-remains-with.html	Elegant Vazquez replaces folksy Mujica as Uruguay presidency remains with leftist coalition			
