	Link	Text	Title
0	http://www.slate.com/articles/news_and_politics/politics/2012/10/obama_s_favorability_rating_holds_day_33_obama_ray_of_hope_.html	Every day until the election, Slate will offer up one reason to be optimistic for your candidate. 33 days to go: Today's Good News for Obama: Last night wasn't Obama's night. Maybe expectations were too high. Regardless, after the presidential debate, reporters called his performance listless and detached and tense and defensive. Even some of his biggest fans said Obama seemed sad, confused, and lame. Voters handed Romney the win. The upside: Obama's favorability rating didn't change. Before the debate, 49 percent of voters had a favorable opinion of Obama, and afterward 49 percent still did. After a long campaign in 2008 and four years as president, it will take more than one bad night to shake America's opinion of Obama. Voters aren't angry--they're just disappointed. See Barack Obama's earlier rays of hope. See Mitt Romney's earlier rays of hope.	Why Today Was a Good Day for Barack Obama
1	http://www.slate.com/articles/news_and_politics/politics/2012/10/mitt_romney_wins_the_presidential_debate_did_the_republican_nominee_have_one_good_night_or_has_he_changed_the_race_against_barack_obama_.html	"When Barack Obama entered the debate hall at the University of Denver Wednesday night, the air was clear and warm. When he left, the winds where whipping and the temperature had dropped 20 degrees. Coincidentally, that was also the same number of undecided voters who thought the president had a good debate. In two different polls of undecided voters by CNN and CBS, Obama received grim reviews. In the CBS poll, 46 percent thought Romney had done the better job. Only 22 percent thought Obama prevailed. In the CNN poll, 67 percent thought Romney had performed well. Only 25 percent could say the same of Obama.  In another poll conducted with a group of ""Wal-Mart Moms"" in Las Vegas, Romney also scored high. His image climbed 20 points, while Obama's moved just 5. Many of the women had ""somewhat tuned out Mitt Romney,"" according to the findings reported by a bipartisan polling team. ""After seeing him this evening several are now re-engaged and want to learn more about him. They were somewhat disappointed with President Obama's performance. They do not believe he made the case for how another four years will be different or better."" Instant polls are a small sample and they only take a momentary impression, but that's all the Romney camp needed. Going into the debate Romney was on the long end of three bad weeks. Romney's advisers were looking simply for a pause in the race--a moment for voters to take a second look at Romney. They got it Wednesday night. Romney had two tasks. He had to explain why the president was a failure while also seeming appealing enough for voters to think he might have policies that will succeed. The risk was that he would get the mix wrong. He'd come off as too aggressive and turn people off. Romney was certainly aggressive. ""You've had four years, "" he told the president during the discussion of deficit reduction. ""You said you'd cut the deficit in half. It's now four years later. We still have trillion-dollar deficits. You found $4 trillion to reduce or to get closer to a balanced budget, except we still show trillion-dollar deficits every year. That doesn't get the job done."" Romney seemed alive to the challenge, almost like he was enjoying himself. He looked in command, like he belonged on stage with the president. Voters polled by CBS after the debate showed a dramatic increase in the number who thought Romney cared about them. Before the debate, only 30 percent said they thought Romney ""cares about your needs and problems."" After the debate, 63 percent believed he was more empathetic of others. It was clear from the start of the debate that Romney was going for kinder and gentler. He spoke of two different voters he'd run into who were struggling in the economy. ""I was in Dayton, Ohio, and a woman grabbed my arm, and she said, 'I've been out of work since May. Can you help me?'  Ann yesterday was at a rally in Denver, and a woman came up to her with a baby in her arms and said, 'Ann, my husband has had four jobs in three years, part-time jobs. He's lost his most recent job, and we've now just lost our home. Can you help us?'  And the answer is yes, we can help, but it's going to take a different path."" The president's numbers also improved among those voters polled by CBS on the question of caring. He started with 53 percent, and by the end of the night, 69 percent said they thought Obama cared about them. It was the only bright spot of the night for Obama, who otherwise seemed listless and detached. When Romney spoke, Obama looked down at his notes and smiled, which conveyed something between low-stakes bemusement and ""I can't believe I have to listen to this guy."" Perhaps that's what happens when you're president and people don't often tell you that you're wrong. In debates over Romney's tax plan, health care, and Medicare, Obama didn't prosecute his case nearly as powerfully as his opponent. At times the president seemed to think merely by appealing to voters' deductive reasoning he'd make his point. ""Does anybody out there think that the big problem we had is that there was too much oversight and regulation of Wall Street? Because if you do, then Governor Romney is your candidate.""  That's a circuitous way to make a rather simple point. Obama did that again and again. The president seemed thrown off by the fact that Mitt Romney was far more like the man who won the governorship in Massachusetts than the one who had won the Republican primary. In a debate about tax cuts, Romney consistently denied that his tax cuts would total $5 trillion. Shouldn't Republicans boast about cutting taxes? What Romney meant is that his 20 percent across the board cut would be revenue neutral and not increase the deficit. That doesn't mean, however, that they won't also be large tax cuts. Romney also seemed to moderate his tone on regulations, particularly Dodd-Frank. Previously, his criticism of the bill had been much harsher, but in Denver on Wednesday night he seemed to say that its big problem wasn't so much the regulations but the fact that the regulations were unclear. Romney bragged about his Massachusetts health care plan, his ability to work with Democrats, accused Obama of giving a ""kiss to New York banks,"" and insisted that he wouldn't cut taxes on the rich. ""I'm not looking to cut massive taxes and to reduce the--the revenues going to the government,"" Romney said, sounding unlike the self-described ""severe conservative"" of the previous 18 months. There might have been a time when this would have upset conservatives, but as GOP strategist Michael Murphy put it, conservatives ""have tasted losing for the last couple of weeks."" They're not going to complain now after a night that ""tastes like winning."" Obama's point--and one he'll hammer home in the coming days--was that Romney's numbers don't add up, if for no other reason than he hasn't been specific. Romney is promising to cut taxes and increase defense spending while also balancing the budget. How does he get there? Romney doesn't really say. If the president were on his game, he might have argued that Romney will make up the difference by squeezing the 47 percent he spoke of so derisively in that video. But the president didn't draw that argument very clearly.  The closest he came was during a discussion of block granting Medicare, when he said, ""Now, you know, that may not seem like a big deal when it just is--you know, numbers on a sheet of paper, but if we're talking about a family who's got an autistic kid and is depending on that Medicaid, that's a big problem. And governors are creative."" That's hardly a line of attack. The president's team will immediately begin to hammer Romney on his lack of specificity. Romney promised the moon, but when you look at the details (or the lack of the same) there's no way it can all add up. Once again, though, the president made his case by backing up into it. ""I think the American people have to ask themselves, is the reason that Governor Romney is keeping all these plans to replace secret because they're too good? Is--is it because that somehow middle-class families are going to benefit too much from them? No, the--the reason is because when we reform Wall Street, when we tackle the problem of pre-existing conditions, then, you know, these are tough problems, and we've got to make choices. And the choices we've made have been ones that ultimately are benefiting middle-class families all across the country."" This was Mitt Romney's best night of the campaign. Now he has to sustain it. In the past, debates haven't stuck with voters for long. There wasn't one Romney moment that voters could take home and replay at work the next day. Romney seemed competent and in command, but how does that get passed around to other voters? Perhaps it's enough that many voters who were looking at him for the first time didn't see an indifferent millionaire. But his reputation for ideological malleability may help the Obama team argue that Romney is reinventing himself again. That will probably mean a pretty brutal round of charges about his ability to tell the truth.  As the campaign heads deeper into October, the president is going to have to regroup, shake off the chill, and turn up the heat. Watch: Political Kombat, the 2012 campaign told through video game fights."	Will Romney's Big Win Over Obama Last for More Than a Day?
2	http://www.slate.com/articles/news_and_politics/politics/2012/10/presidential_debate_awards_slate_hands_out_the_awards_for_best_zinger_best_false_praise_best_statistic_and_much_more_.html	"Barack Obama and Mitt Romney  squared off Wednesday in their first presidential debate. Each man had his moments. To score the evening, Slate brings you the first Presidential Debate Awards--the Oscars of the Oval Office. The envelope please: For Best Zinger: The award goes to Mitt Romney: ""Mr. President, you are entitled to your own airplane and your own house but not your own facts."" Best False Apology: Romney had bad news for Jim Lehrer and Big Bird: ""I'm sorry, Jim, I'm going to stop the subsidy to PBS. I'm going to stop other things. I like PBS, I love Big Bird. Actually like you, too."" For Best Wrist Slap: Obama gets snippy with Jim: ""No, I think--I had five seconds before you interrupted me, was ..."" For Best Use of One's Family History for Personal Gain: Obama played the good husband right out of the gate: ""And so I just want to wish, sweetie, you happy anniversary and let you know that a year from now we will not be celebrating it in front of 40 million people."" For Best False Praise: The least believable line from Obama all night: ""You've done a great job, Jim."" For Best Use of a Statistic: Romney gets the award for best use of the data. ""Spain spends 42 percent of their total economy on government. We're now spending 42 percent of our economy on government. I don't want to go down the path to Spain."" For Best Delivery of a Truly Tortured Line: Romney using those five rambunctious boys to make a point. ""Look, I've got five boys. I'm used to people saying something that's not always true, but just keep on repeating it and ultimately hoping I'll believe it."""	Who Delivered the Night's Best Zinger? Check out Slate's 2012 Presidential Debate Awards.
3	http://www.slate.com/articles/news_and_politics/politics/2012/10/debate_expectations_high_for_obama_day_34_romney_s_ray_of_hope_.html	Every day until the election, Slate will offer up one reason to be optimistic for your candidate. 34 days to go: The past week, the Obama and Romney camps have downplayed their respective candidates' debate preparation in an attempt to lower expectations--and to possibly get more credit for successful performances. It's a time-honored tradition. So who's winning the managed expectations game? Romney. According to an Oct. 2 Quinnipiac University poll, 58 percent of voters expect Obama will win the debates, and only 28 percent expect that Romney will. That includes 52 percent of independents and 20 percent of Republicans. Obama may be considered to be the better debater--but that just means he has to do more than show up. See Mitt Romney's earlier rays of hope. See Barack Obama's earlier rays of hope.	Why Today Was a Good Day for Mitt Romney
4	http://www.slate.com/articles/news_and_politics/politics/2012/10/missouri_politics_why_the_swing_state_is_now_a_red_state_.html	"SPRINGFIELD, Mo.--""The good news,"" says Jolie Justus, ""is that I really do think we've hit bottom."" We, in this case, are Missouri Democrats. Until 2012, nobody had ever heard of a competitive presidential election that leaves out Missouri. Missouri joined the union in 1821, and for 187 years no Democrat won the presidency without carrying the state. When Democrats lost, they at least kept it close here. Even Michael Dukakis lost Missouri by only 4 points. Then, in 2008, Barack Obama won the presidency while losing Missouri. It was close! Only 3,903 votes separated Obama from McCain, while Ralph Nader--of course, who the hell else?--snagged 17,813. Then Obama took office, and the Democrats went back into decline. In 2010, Republicans defeated Rep. Ike Skelton for a mostly rural seat that Democrats had held since before Sputnik. The red wave gave Republicans 28 of 34 state Senate seats. Justus, the first openly gay senator, was one of the few Democrats left, representing urban areas, huddling together for warmth. In 2008, the Obama campaign's score of rural GOTV offices became a model of the hope and change candidate's vast appeal. This year, the Obama campaign has two offices in Missouri, in the liberal nodes of Kansas City and St. Louis. ""We're in new territory,"" says Justus. ""The fact is that we are getting to be seen as a red state, that we're more like Kansas."" Start with the demographics. In the 2000 census, Missouri was 84.9 percent white, 11.2 percent black, 2.1 percent Hispanic, and 1.1 percent Asian. Today those numbers are 80.8 percent, 11.7 percent, 3.7 percent, and 1.7 percent. It's a slight boost to diversity, and you can see it in the vast southwest and center of the state. Park in Carthage, near the town square, and you'll walk past a pretty bustling supermercado over to a group of antique shops and zero street traffic. But compare Missouri to a state that Obama wants to win, like Virginia. There, the population of non-Hispanic whites has fallen from 72.3 percent in 2010 to 64.5 percent today. When you talk to conservatives in rural Missouri, you hear ""Kansas City"" and ""St. Louis"" spat out like curses. (""Chicago,"" too.) That's where the crime is, and where their tax money gets wasted. But the urbanites in the state are outnumbered. So why can't Obama win the skeptics, the people who voted for Clinton? I meet with Jeff Roe, a Republican strategist with a fearsome win record, in his office in the Kansas City suburbs. He has a postcard view of the skyline, but he is in Clay County, one of those places that Democrats always won until George W. Bush arrived. ""Abraham Lincoln got zero votes here,"" he says. ""Literally, none."" Roe sits in front of a photo commemorating a meeting with Rush Limbaugh; leaning next to that is Roe's new AR-15. Why is Obama so uncompetitive in Missouri? ""There's a racial piece of this,"" says Roe. ""Look at Independence, Missouri. It's Democrat. Rep. Emmanuel Cleaver represents. It's the birthplace of Harry Truman. Most of the local elected officials are Democrats. And Obama lost. He's the first Democrat for president to lose it. And Cleaver loses it. So it's got to be racial politics. In the boot heel, counties that go reliably, 70 percent Democrat, Obama loses. There's got to be a racial piece to that."" There are so many other pieces. Why are local Democrats weaker than they used to be, even if they're not running with Obama? Some of them point to 2008's Republican-led campaign finance reform that ended all limits on campaign contributions. The Democrats who win statewide--everybody still expects Gov. Jay Nixon to win--build war chests. But it's easy for big donors to wipe out Democrats in down-ballot races. And it's expensive to win those suburban seats, many of which are on the state border. ""You're buying ads in Kansas City and St. Louis, which means half your money is wasted in Kansas and Illinois,"" says Democratic strategist Roy Temple. ""It's not that we've swung so extreme to the right, it's just that there's no offsetting mechanism for it."" Not until Obama is gone, certainly. Republicans like to refer back to a 2010 ballot initiative, nonbinding, that put Missouri on record against a health care mandate. Seventy-one percent of voters went against the administration--and, to be fair, against the idea that had been drafted originally by the Heritage Foundation. Roe's recent polling suggests that Obamacare opposition is down, but only to the mid-50 percents, with only 30 percent of Missouri strongly behind the law. But Missouri had another nonbinding vote, in 2012. In February, the state held a ""beauty contest"" primary, and Rick Santorum won 55 percent of the vote--every single county. Republicans in the state that once chased out Joseph Smith wanted the Catholic candidate who called Mitt Romney ""the worst Republican to run against Obama on health care."" In Springfield, I meet up with James Owen, an attorney and former film critic running for one of the city's legislative seats. The rendezvous happens at Leong's Asian Diner, a local institution run by a Chinese immigrant who stormed Omaha Beach on D-Day and then returned to Missouri to invent cashew fried chicken. (Missouri's racial diversity comes in drips, not in map-changing population surges.) ""I was in a courtroom right after the 2008 election,"" says Owen, ""and a defendant started joking that 'they're gonna start growin' watermelons in the Rose Garden.' The judge was like: 'Uh, excuse me?'"" Owen, like every Democrat I meet, is wistful about the ""swing state"" days. But he's not sure about Mitt Romney's swinging abilities. ""During the primary I was telling people: If Santorum pulls this out somehow, I don't think I can run,"" he says. ""He would have hyped up the voters down here the way Sarah Palin did."" Mitt Romney isn't somebody who hypes up conservative Missouri. He's somebody it can tolerate. The most common phrase I heard when asking Republicans about Romney here was ""he wasn't my first choice, but ..."" George W. Bush and John McCain fit the Republican profile. Romney never will. Democrats, Owen and others, hear it all the time: There are conservatives who go to church, hear that Mormonism is a cult, and struggle to square that with the name on their ballot. ""It hurts them quietly,"" says Temple. ""It comes up in coffee shops,"" says Justus. ""I heard two people talking about it just the other day. 'What are you gonna do? You gonna vote for the Muslim, or you gonna vote for the Mormon?' And this guy, who belonged to one of these megachurches, said that the issue had come up in his prayer meeting, and they'd decided not to vote."" This may be one of the states where that attitude costs Mitt Romney some votes. But it won't be enough to let the Democrats win Missouri."	Why Are Democrats Doomed in Missouri?
5	http://www.slate.com/articles/news_and_politics/politics/2012/10/todd_akin_defeat_claire_mccaskill_if_so_it_ll_be_because_of_the_support_he_gets_from_conservatives_in_southwest_missouri_.html	"MT. VERNON, Mo.--""I can understand 'legitimate' [rape]"" says Dee Eukel. ""I understand it, because I was a victim. And our local prosecutor told me: We best accept a plea bargain because we can't get a prosecution on rape."" It's Monday evening at the rec center in this small town, halfway between Joplin and Springfield on I-44. Drive up that highway, which connects the southwest counties to St. Louis, and you see the smallish towns and largish chapels where Republican margins are built. The McCain-Palin ticket won Mt. Vernon's county by 37 points. When the Republicans held their U.S. Senate primary, Todd Akin won this county by 8 points. Akin's political base is the conservative suburbs of St. Louis, but 30 percent of the state's GOP vote comes from this region, and it's behind him now. ""We're going to over-perform here in order to win,"" says Akin strategist Rick Tyler. Dee Eukel's husband, a rabbi, manages the Leaders Leading Locally Institute, a conservative group that brings activists together to talk politics and charity. That is why we're in this recreation center, talking about a U.S. Senate race. If Akin can beat Sen. Claire McCaskill, if the polls that have him down by only 1 point are accurate, it will be because he does well in places like this--well with voters like Eukel. She's 69, and her assault happened more than a decade ago. She remembers her attacker's threat, word for word: ""I can kill you anytime I want."" Her voice still cracks with resentment of how the state put him in jail for only seven years. This is why she defends Todd Akin, why she's even posted her story on Facebook. ""When a prosecutor tells a woman he can't get a conviction, why is that?"" asks Eukel. ""It's because of illegitimate accusations. You look at it from a little bit different point of view when you've been in a situation. I understood. If the prosecutor can't get a conviction, it's because the system has been abused. There's no excuse for a rape of any kind, but there are too many who'll say, well, she asked for it."" All Akin did was misspeak. ""What he said may have been bad, but look at some of the things our vice president has said--that would be unacceptable to anyone!"" Southwest Missouri made the Todd Akin candidacy, and southwest Missouri could save it. During the primary, McCaskill threw money into chaos-making ""anti-Akin"" ads that reminded voters here just how frightfully conservative the guy was. After Akin made his ""legitimate rape"" comment, and national Republicans demanded that he quit to make room for a candidate who didn't talk like that on live TV, Republican organizations here stuck by him. Walk into the Jasper County Republican office, just east of Joplin, and you see a sign declaring proudly that it receives NO Republican National Committee or Missouri Republican Party Funding. Its two ranch-style offices and bushels of Akin signs and literature are funded by the faithful, not the fretful. John Putnam, 65, is chairman of this local party. When I stop by, he's helping deliver some chairs to an Americans for Prosperity rally--not affiliated with any party--that's happening across the street. Putnam's family arrived in America in the 1640s, and he wears a baseball cap decorated with one of George Washington's flags, pausing occasionally to check an iPhone protected by a stars-and-stripes case. ""If you take the national or state money you have to do what the party tells you,"" says Putnam. ""People don't think [Akin]should've been hung out to dry."" They're offended, actually, that the media so mangled what Akin was saying. ""A lot of women today still tell me that Akin said women can't get pregnant from rape. You just had to look at the tape to see what he was trying to say, but said poorly: Stress reduces the likelihood of somebody getting pregnant."" Over two long travel days, and a few hundred miles of road, I fail to find any Republican voters who substantively disagreed with Akin. The big media rap on Akin this week is that he found McCaskill more ""ladylike"" in her 2006 race. Akin's team sees a clear separation between the national media's focus and the worries of Missouri. ""It's like night and day,"" says Tyler. ""I'm sure the Washington and New York media can find ways to be offended. But it's pathetic, it's stupid, it's sophomoric, it's ridiculous."" Outside Akinworld (the campaign) and Akinland (hardcore conservative Missouri), you can find plenty of panicky Republicans. Tom Davis, a former Virginia congressman who ran the GOP's congressional campaign in 2000, remembers how Akin eked out a win in a five-way primary, seemingly putting a swing seat at risk. Akin predicted that ""my base will come out in earthquakes."" It did, and he won by 14 points. You beat the ""smart kids"" enough times and you start to think you can't lose. That's what made Akin intractable when Republicans were on bended knee asking him to quit. But he wasn't the only Republican who believed it. Shortly before I leave Joplin's AFP rally I talk to Jane Obert, the city of Neosho's finance director. Off duty for the day, she's wearing the red-and-blue colors of the Southwest Missouri Conservative Network, another one of the umbrella groups down here that's weathered the decline of the Tea Party. ""What he actually said, that riled people up, was not said eloquently for a politician,"" says Obert. ""But it was actually true. Any time women are in a highly stressful situation, they're not likely to get pregnant."" She points me to the Department of Health and Human Services website, which says this much in a HealthTip. ""It's a clear choice. Do you stand for life, or do you stand for murdering unborn babies for any time and any reason. Claire McCaskill wants to make it legal to suck an unborn baby's brains out. How barbaric is that?"" At the Leaders Leading Locally event, this is taken for granted. The evening begins when Rabbi Eukel warns about the ""false barriers"" set up by politicos and the media. Among them: ""That the secular and the sacred are not together. That legislation and God's love don't mix."" We pray, we recite the Pledge of Allegiance, and then we listen to Ed Martin, the Republican candidate for attorney general. He has the build and voice of the old professional wrestler Jerry Lawler, and travels to some campaign events in a rehabbed ambulance to remind voters of the faults of Obamacare. He rat-a-tats through a list of ways that the Democratic incumbent, Chris Koster, has become ""Obama's lawyer""--signs with this message are available at the door. ""If Obama wins I'll probably sue him every day,"" says Martin. ""If Romney wins, I'll sue him every other day."" It's one of those town halls where open-ended questions lead to all-encompassing answers. A voter asks Martin what he'll do to defend small businesses. The candidate answers, then gets into a monologue about Akin--how his fatal TV clip was engineered by a ""bottom-feeding leftist,"" and why conservatives should get his back. ""One of the terrible things about the Todd situation, about how it all happened, was the lack of charity that people had towards him,"" says Martin. ""He said something that was really not well said, yeah. And he apologized. And he should have. But in that period of time, there were a lot of people from far-off lands that were just pounding away on a man and who he was. I thought he made a mistake that might be fatal. It might still be, in terms of his political career. But he's a man."" Watch: Political Kombat, the 2012 campaign told through video game fights."	A Brief Tour of Todd Akin's World
6	http://www.slate.com/articles/news_and_politics/politics/2012/10/seniors_favor_romney_35_day_ray_of_hope_for_mitt_romney_.html	"Every day until the election, Slate will offer up one reason to be optimistic for your candidate. 35 days to go: Today's Good News for Romney: Romney may be lagging in most polls, but he's got the edge among one key demographic: seniors. A national poll released today by Quinnipiac University shows Romney leading Obama 51 percent to 46 percent among voters 55 and over. While the same poll has voters between 18 and 34 years of age heavily favoring Obama, seniors are much more likely to turn out on Election Day. Roughly 68 percent of voters 65 and over have voted in the last four presidential elections. Gallup found that the percentage of voters between 18 and 29 who said they would ""definitely vote"" fell from 78 percent in October 2008 to 58 percent in May 2012--a 20 point drop. Romney has been targeting senior citizens for a while--maybe it will pay off. See Mitt Romney's earlier rays of hope. See Barack Obama's earlier rays of hope."	Why Today Was a Good Day for Mitt Romney
7	http://www.slate.com/articles/news_and_politics/politics/2012/10/obama_competing_in_north_carolina_36_day_ray_of_hope_for_barack_obama_.html	Every day until the election, Slate will offer up one reason to be optimistic for your candidate. 36 days to go: Today's Good News for Obama: With polls in Ohio and Florida now showing a clear advantage for Obama, Democrats have turned their attention to an unlikely swing state: North Carolina. Obama won the Tar Heel State in 2008, but only by a razor thin margin of 14,000 votes. Few anticipated a repeat victory--except, apparently, the DNC, which has used its 53 field offices to register 250,000 voters in the state since April 2011. Romney currently holds a slight lead, but not one big enough to keep Republicans from sinking money into a state that should be an easy victory. Even if Obama can't repeat his 2008 performance, his competitiveness in North Carolina is forcing Romney to divert resources away from the real fight. See Barack Obama's earlier rays of hope. See Mitt Romney's earlier rays of hope.	Why Today Was a Good Day for Barack Obama
8	http://www.slate.com/articles/news_and_politics/politics/2012/09/media_research_center_dishonor_awards_why_conservative_media_critics_aren_t_laughing_.html	"The invitation is noncommittal and polite--""black tie appreciated."" Most people oblige. Shortly after 6 p.m., the National Building Museum fills up with happy conservatives in their best clothes for the Media Research Center's gala. The Great Hall, 316 feet long with a 70-foot ceiling, is separated into one early-evening bar, one late-evening bar, and a dining room with 100-odd tables for 1,000 guests. Tony Perkins, president of the Family Research Council, grabs a glass of water from the bar. A woman in a red dress buttonholes Perkins and talks about all those polls showing Mitt Romney losing to Barack Obama. ""The polls said Ted Cruz was going to lose in Texas,"" she says. ""So why do we trust the polls?"" Does Perkins think the polls are wrong? ""I do,"" he says. ""Just anecdotally, I've been all over the country, and it's a night-and-day difference between 2008 and 2012. The apathy that dominated in 2008 is gone."" But the media--the media is worse than it was, even then. ""They don't even hide their bias anymore,"" says Perkins. ""They just very clearly attack conservatives and conservative ideas, and appear to be in the tank for Barack Obama. When the president uses his bully pulpit to attack marriage, they can portray people who disagree with the president as extremists. So they do."" The MRC is celebrating 25 years in the business of mocking, debunking, and protesting the mainstream media. It did not invent this mission, but it mastered it. Accuracy in Media, founded in 1969 as Richard Nixon's allies were honing an anti-MSM case, pulls in less than $1 million per year. The MRC raised $12.6 million last year, funding everything from the Newsbusters blog to the Newsbusted webcast to Founder and President Brent Bozell's tireless campaign against ""raunch."" Right now, they're sort of losing. The whole conservative apparatus that's supposed to cancel out media bias--it's not working. Barack Obama's winning. The Huffington Post is providing AOL's political coverage. MSNBC reverse-engineered Fox News' approach to proud, ideological news analysis, and it's beating CNN. (Disclosure: I'm a contributor to MSNBC.) Before the dinner starts, I run into Accuracy in Media's Cliff Kincaid. He tells me to read his latest column, but since we're pressed for time, he sums it up: Mitt Romney refuses to take on the media, and it's ruining him. ""Too many of Romney's advisers are going to make money no matter who wins,"" says Kincaid. On the other hand, there's Joel Gilbert, who's been trying (with AIM's help) to sell a movie about Obama's alleged genetic ties to Frank Marshall Davis, a black Communist who mentored the future president. The media won't read the FBI file that AIM secured four years ago. Gilbert can't get newspapers to take his money for full-page ads promoting the Davis theory. ""It's so bad this time you can't even pay to get your ads in the Washington Post and USA Today!"" Gilbert is now sending his movie to ""millions"" of households through the mail, so there are ways around the media, but it's hardly convenient. At 7 p.m. we're ushered into the dining hall. Our tables face a stage flanked by titanic TV screens and ceiling-high banners. The DisHonors Awards, the annual prizes for the most ludicrous on-camera quotes from the media, will be splayed across those banners and those screens. Bozell, wearing the kind of white tuxedo coat that James Bond prefers in Monaco, is visible from multiple angles. The audience mills around, and then the screens switch to an image of Keith Olbermann, vintage footage from the MSNBC days. ""Shut the hell up,"" thunders Max Headroom/Olbermann. We do. Before we start making fun of the press, we're inculcated with culture. Our invocation will come from the Rev. Terence Henry of the Franciscan University of Steubenville, who'd been hard to miss, walking through the tuxedoed throngs in a black robe. ""Father Terence made national news,"" says the emcee, ""when he announced that, in response to President Obama's attack on religious freedoms, Franciscan University was going to drop its student health program rather than participate in 'a plan that requires us to violate the consistent teachings of the Catholic Church and the sacredness of human life.' "" It's the first big applause line of the night. Henry takes his place and quotes G.K. Chesterton: ""We do not need censorship of the press. We have a censorship by the press."" That's the second applause line. Then the Pledge of Allegiance is led, via video, by Bozell's son and some his fellow marines in Afghanistan. The Great Hall fills up with applause. On to the awards. Every year, in Los Angles, the Razzies parody the Academy Awards by giving worst-of prizes to actors and movies and screenwriters. The DisHonor Awards ceremony doesn't actually satirize real journalism prizes. It's a clip show, formatted like an Oscars night, with special guests opening red envelopes and giving ""The Obamagasm Award"" or the ""Damn Those Conservatives to Hell Award"" to some MSM chucklehead. The focus on videos means that the MRC is mocking the demand side of news, not the supply side. The clips don't often capture reporters spreading actual misinformation, or breaking the wrong news. They're asking leading questions. They're quoting devil's advocate groups. NBC's Ann Curry, briefly the co-host of the Today show, wins the ""Damn Those Conservatives"" prize because she asked Paul Ryan to respond to numbers from the Center on Budget and Policy Priorities about his proposed budget cuts. ""Listen as she rattles off a series of talking points from an official-sounding group,"" says National Review's Jonah Goldberg, who is editing an MRC script as he goes along. ""Unfortunately it isn't. It's just another far-left, pro-Obama outfit."" The screen displays the MRC's logo, which transforms into video--literally, the metallic voodoo sound from Transformers blasts through the PA. Curry reads the CBPP's numbers to Ryan. ""This says that 8 to 10 million people would be kicked off of food stamps,"" says Curry. ""Where is the empathy in this budget? Do you acknowledge that poor people will suffer in this budget? That you've shown a lack of empathy to the poor?"" The audience groans. ""Paul Ryan deserves the Nobel Peace Prize for not beating her about the head and neck with a frozen flounder,"" says Goldberg. The presentation is long--two and a half hours of videos and speeches. It's been extended by the MRC's added video tributes of TV news bias ""through the years."" Watching it, I agree with the Perkinses and Kincaids--conservative media isn't having the leveling effect that it used to. We see many minutes of Dan Rather going on air with his 2004 story about George W. Bush's service in the Air National Guard, then retracting the story because the key document was forged, then, years later, refusing to apologize. New conservative media--talk radio, blogs, message boards, Drudge--claimed his scalp. One of the key blogs, Powerline, was profiled by Time magazine. ""Rathergate"" changed the audience's relationship with the media. The problem came when the left figured that out. The MRC inspired a left-wing, bizarro twin: Media Matters. If ThinkProgress or Talking Points Memo has a hit, it winds up on MSNBC or The Daily Show, and gets into the conversation. All of this can dampen a night of ha-ha-media japery. RNC Chairman Reince Priebus accepts an award on behalf of Chris Matthews, then--in the sort of language you don't always hear at a 501(c)3's gala--assures the audience ""we're going to fire Barack Obama and end this European nightmare."" Laura Ingraham, one of the celebrity presenters, reveals a ""remember when that thing happened?"" approach to comedy, and reminds the crowd of Barack Obama's tribute to Al Green. ""Ahhhm sooo in love with yoouu,"" Ingraham sings. ""Wasn't that--I mean, come on! Can you imagine Mitt Romney doing that?"" She sings the same lines, in a soulless voice. The laughter's not there. ""I know this is the MRC, but we take on both sides."" Do we have to? The dinner ends, and we move over to the second bar. Romney's campaign is still the only conversation starter, the black hole into which all other gossip is pulled. One Republican media strategist tells me that Romney has failed to go large on tax policy. A Newsbuster tells me that Romney should use more charts. We can make fun of the media, but we can't seem to break through them. Whose fault is it? At midnight, the lights go up and the party moves to a nearby hotel. Friends of the MRC get red wristbands, open bar access, and access to trays of bar food. Before I leave, I talk to the Republican mega-donor Foster Friess, one of the evening's ""diamond"" sponsors. (The other was ""Anonymous."") ""I'm going to hang out and raise a little hell!"" he jokes. He ends up sitting with a reporter for the Daily Caller, the news site that Friess helped found with some 2010 seed capital. The parodies are done for the year. The battle to replace the liberal MSM never ends."	Why Conservative Media Critics Aren't Laughing Anymore
9	http://www.slate.com/articles/news_and_politics/politics/2012/09/mitt_romney_comeback_kid_day_39_romney_ray_of_hope.html	Every day until the election, Slate will offer up one reason to be optimistic for your candidate. 39 days to go: Today's Good News for Romney: It's been a rough week. He's down across the swing states, and Obama is surging in most polls. But Romney has been here before. In his gubernatorial race in 2002, Romney was trailing his Democratic opponent Shannon O'Brien by 6 to 12 points in mid-October. His own polling had him 10 points behind. Romney was losing among women by 18 points. (Voters hadn't taken a shine to his early ads that showed Mitt and Ann Romney talking about their prom.) But with four weeks to go, Romney hit O'Brien with ads attacking her for $7 billion in state pension fund losses, with images of a watchdog sleeping on the job. On Nov. 5, he became Massachusetts' Comeback Kid and won the election by 5 percent. (And hey, golfer Jack Nicklaus still believes in him.) See Mitt Romney's earlier rays of hope. See Barack Obama's earlier rays of hope.	Why Today Was a Good Day for Mitt Romney
